,Date,day,month,year,cases,deaths,Country,Population,Continent,CFR
8654,2020-04-28,28,4,2020,0,0,Myanmar,53708395.0,Asia,
8691,2020-04-28,28,4,2020,0,0,Namibia,2448255.0,Africa,
8736,2020-04-28,28,4,2020,0,0,Nepal,28087871.0,Asia,
9892,2020-04-28,28,4,2020,0,0,Papua_New_Guinea,8606316.0,Oceania,
8963,2020-04-28,28,4,2020,0,0,New_Caledonia,284060.0,Oceania,
9002,2020-04-28,28,4,2020,2,0,New_Zealand,4885500.0,Oceania,0.0
9113,2020-04-28,28,4,2020,0,0,Nicaragua,6465513.0,America,
9791,2020-04-28,28,4,2020,0,0,Palestine,4569087.0,Asia,
9154,2020-04-28,28,4,2020,5,0,Niger,22442948.0,Africa,0.0
9193,2020-04-28,28,4,2020,64,0,Nigeria,195874740.0,Africa,0.0
9413,2020-04-28,28,4,2020,0,0,Northern_Mariana_Islands,56882.0,Oceania,
9562,2020-04-28,28,4,2020,51,0,Oman,4829483.0,Asia,0.0
9442,2020-04-28,28,4,2020,28,0,Norway,5314336.0,Europe,0.0
0,2020-04-28,28,4,2020,172,0,Afghanistan,37172386.0,Asia,0.0
11290,2020-04-28,28,4,2020,1,0,Sint_Maarten,41486.0,America,0.0
9931,2020-04-28,28,4,2020,2,0,Paraguay,6956071.0,America,0.0
13073,2020-04-28,28,4,2020,0,0,United_Republic_of_Tanzania,56318348.0,Africa,
12492,2020-04-28,28,4,2020,0,0,Timor_Leste,1267972.0,Asia,
12530,2020-04-28,28,4,2020,1,0,Togo,7889094.0,Africa,0.0
12576,2020-04-28,28,4,2020,0,0,Trinidad_and_Tobago,1389858.0,America,
12720,2020-04-28,28,4,2020,1,0,Turks_and_Caicos_islands,31458.0,America,0.0
12755,2020-04-28,28,4,2020,0,0,Uganda,42723139.0,Africa,
12793,2020-04-28,28,4,2020,0,0,Ukraine,44622516.0,Europe,
13271,2020-04-28,28,4,2020,14,0,Uruguay,3449299.0,America,0.0
10258,2020-04-28,28,4,2020,18,0,Puerto_Rico,3195153.0,America,0.0
13316,2020-04-28,28,4,2020,17,0,Uzbekistan,32955400.0,Asia,0.0
13360,2020-04-28,28,4,2020,4,0,Venezuela,28870195.0,America,0.0
13405,2020-04-28,28,4,2020,0,0,Vietnam,95540395.0,Asia,
13521,2020-04-28,28,4,2020,0,0,Western_Sahara,,Africa,
13524,2020-04-28,28,4,2020,0,0,Yemen,28498687.0,Asia,
13543,2020-04-28,28,4,2020,1,0,Zambia,17351822.0,Africa,0.0
12261,2020-04-28,28,4,2020,0,0,Taiwan,23780452.0,Asia,
12224,2020-04-28,28,4,2020,0,0,Syria,16906283.0,Asia,
11944,2020-04-28,28,4,2020,0,0,Suriname,575991.0,America,
11787,2020-04-28,28,4,2020,65,0,Sri_Lanka,21670000.0,Asia,0.0
11645,2020-04-28,28,4,2020,0,0,South_Sudan,10975920.0,Africa,
11324,2020-04-28,28,4,2020,2,0,Slovakia,5447011.0,Europe,0.0
8487,2020-04-28,28,4,2020,0,0,Montenegro,622345.0,Europe,
11142,2020-04-28,28,4,2020,6,0,Sierra_Leone,7650154.0,Africa,0.0
11097,2020-04-28,28,4,2020,0,0,Seychelles,96762.0,Africa,
10997,2020-04-28,28,4,2020,64,0,Senegal,15854360.0,Africa,0.0
10923,2020-04-28,28,4,2020,0,0,Sao_Tome_and_Principe,211028.0,Africa,
10804,2020-04-28,28,4,2020,0,0,San_Marino,33785.0,Europe,
10768,2020-04-28,28,4,2020,1,0,Saint_Vincent_and_the_Grenadines,110210.0,America,0.0
10723,2020-04-28,28,4,2020,0,0,Saint_Lucia,181889.0,America,
10689,2020-04-28,28,4,2020,0,0,Saint_Kitts_and_Nevis,52441.0,America,
10644,2020-04-28,28,4,2020,16,0,Rwanda,12301939.0,Africa,0.0
10290,2020-04-28,28,4,2020,957,0,Qatar,2781677.0,Asia,0.0
8529,2020-04-28,28,4,2020,0,0,Montserrat,5900.0,America,
6922,2020-04-28,28,4,2020,143,0,Kazakhstan,18276499.0,Asia,0.0
8443,2020-04-28,28,4,2020,0,0,Mongolia,3170208.0,Asia,
3512,2020-04-28,28,4,2020,12,0,Djibouti,958920.0,Africa,0.0
